hex,confTime,timeGuessed
0088c1ed90b191d308b636a548671dfe4bea9626ad2dcdf5f027bddb5c16d2d1,47.134588,15
11bde34a6593b3da0d81a8a71b24dc6f6cf05d18e9f59e610e58ff202263adef,2.017210245,2
0c75ccaac2812081198391f595e46d12ec1d3cbb0f5aa664e6631f110ae4526c,9.034113169,5
01d77b0b1bd2fecc8ddd43210d4d10934aa31db043675f53eb46907a031d10d2,3.011060476,2
11bde34a6593b3da0d81a8a71b24dc6f6cf05d18e9f59e610e58ff202263adef,6.030244589,2
2099a9b5f777e242d1f9e19d27e232cc71e2fa7964fc988a319fce5671ca7f73,2.015153408,1
0d21ae129a64e1d19e4a94dfca3a67c777e17374e9d4ca2f74b65647a88119ea,4.011838675,1
016562d2d357325c642f6a5961d7d242a47dd7dd30ccf0e59d578246488272af,6.008124828,1
36ab771eba23f49d7ae43af88c601f3de8fccb201250906a4085444ae765f2db,4.016928911,2
05758cd3875ad2171484c0026ccbb8adc210cd2d852407e3c7af1b751f35fdd6,7.024813652,2
172e1676eda470ede17e9d491554bcbe97ba4691f92880064c8cb29ec35a467e,3.017316103,1
096012b7ebcaf56d1d63b2784d2b2bbdeae080d72ad6bd1b9f7018e62a3c37d0,8.028706551,2
22a2fa7d04248931a8853a7714b86546610afd01b2b1841890e979ba7ba6bcae,1.015385628,1
04aaef1641583bd65e73dec929e36328974faf1066cef573872b3acfeeff07cb,23.1157372,8
10f6b6ad5e069f3b97acb8979dc276b9a1c04beb48dd9fa7c8169a142879474a,3.024066687,1
0ebe0fb634f8e4aca93dcdea090d01120e73df4c7da22888c595b593da608c78,2.006350279,1
15d45f2509126484f295a467baa497716a95742d401311586e75d5db3f88be9c,4.016865253,2
02f99d2002c703f1669e358989f1663e1e38e96297dcb3bb70fb67b0d74fb877,4.001333237,1
28de56db50a1c9310f4eb478927dcc471f90a95c5d2c0eac1a3eb6f278987a29,5.030081749,2
1c00e16c0db1f129d7b8b87fad27646fdfc393600d20182fa7eb94682601b913,3.000858068,1
056cc3e4b91ffa46435bb981d0d98c329222ca41cf12825a533797330a9cc56e,5.015372276,2
0546542b90c76d50b3f8480b8b330865f8e5f2a0622a0dc9c3d6d5746cd72a13,1.000325918,1
06b9fe7fa1464b84453b7b7969310a4022f3c94c9eafc17272849fc41ed2837d,6.010930538,3
13990937ab8ca4413751a9012a31255e72a18ba3ac8d5c83dd511df50cf2a3e1,5.003619194,1
124aec7171598f2fc8a17015f5b370a83736bb08e24a242d4be2f1719e6f6986,5.001360416,2
0e1a3aec7fd93fa52fea73290fec50e6cf62fb1fa6d03b9ebc0a0a3272232339,1.000325441,1
0663ba1a18227e9b2b3260379dcd706b0047e88eca8eab005685ac56db94ca9a,3.00117445,1
0d9fb18c9aa347da29ecfbabfcc4ae4efde2f1b8fb15fe73b74e18b092955cb8,5.001488209,2
1625f9db144171f78dc64afa00f5f5065f176d05eb8f9dcb11f6c8cd3624aaa6,4.000310183,1
0d497212b54b228c655ea2a706c9ba3597d90640179205edc869070739b95f38,4.00129652,2
0337d6fcd298bc6696a8cade92eb2bc0568f213653c0df0349aafaf285f524a4,6.015565634,2
0ded688ee74a1511c09a4cc41ecc8272a6435b7f643b435b4dbf43a5cb329a3a,3.00873065,1
2120ea176dd154dd53820460561c825d3b9a70d8d46b7da5605fb455adfcbb1d,5.029693127,2
1f0c90cf2d416fd5c2a02432f59f749b99b85c6109bc72addb3b063f39cf7c6b,3.027672529,2
109605b9bd377f6c636831a2a8a5c6f397e5887c28c3071688413a15388066c2,5.015461683,1
2f1987bf98c09d2f5d2a23a6ae29fa53b9aec8f07ed1330bd439122f5a1a2c2c,3.00006938,1
251851f41520f4dfde680f1053b99966765b5e9c11c8ec8673ca736225d6cdd1,8.030826092,3
07f554bd2c907d98b2ef1c5b339cc56d6825eb142e431b313d809c44e5af7a9c,5.016145706,3
02cf62656564decc54131e85c0415cbad4eb573a24278854fe8bc4aa3fe45268,5.011089087,1
32eb1a8dafeb0873c8d00b0e9058c8c77ff6c6d9235b3236989c50ef63d8f9ba,4.0006845,1
32eb1a8dafeb0873c8d00b0e9058c8c77ff6c6d9235b3236989c50ef63d8f9ba,5.012551546,1
1df8153c919b047477c927efdecf3abbf565fa3d56e67477bb95b60ecee76fec,2.000601292,1
17dc3303cd10e0824497a0874a4b86275e63c943e3fefba5f5760959dd525fc2,5.001625061,1
0337d6fcd298bc6696a8cade92eb2bc0568f213653c0df0349aafaf285f524a4,3.009147167,2
0d21ae129a64e1d19e4a94dfca3a67c777e17374e9d4ca2f74b65647a88119ea,1.000946045,1
097f274cf69e963a59672611fb2f65ef70b833337eadfd8685601d6bbdaa8220,7.016076803,1
23e2c21019bd22649075958f75d16fbf4d72454f93afcd839eb27675e4359f2a,3.000747919,1
0bf366a6fdd643807e24b567a94e9ab1f24ef87d9353b3248e2bc42503766275,4.000808239,2
1190191b857e9a1436e1fce7930d233366a06406e5209494e3a614ae1e745e8a,7.015376568,3
19d0b0d4077454bdec0d553cc96ce822959a5707d28de909cd32395eb0b6f645,2.000469208,1
01cbde8c463f2a8f765d1e8af8e7b4426bc885b18bfe8b640ebd4496912e1798,17.00174761,3
45297c633d331e6ac35169ebaaf75bc7fafd206ebb59ba4efd80566936e46eb0,1.000324726,1
07df47f4857229805333a3de141b6318b699e4ae52a860c9923db6de9a8bf16c,1.00039649,1
069f9f794b2b6e2d7bb4174638b506f652b7f95a7d98a51505e3123d3a901618,9.0027349,4
098c34d0a9154864e825ff44ed0b5b70719e84a73bff869369542f813faec4da,4.001268864,1
2036f83ce71f236913ff0ddb26a3fc556ce51b06cd8352a2461da5beb7490a90,2.000342131,1
083f509d5f1c7e8f9576f34bb39ef16459ffe01d7d9e23f5468edef845711968,2.000547409,1
133a57f8cf2b46396257ecb3371efee901b7e2b0afa5938f03f5f0314d5baf87,7.015196085,3
0546542b90c76d50b3f8480b8b330865f8e5f2a0622a0dc9c3d6d5746cd72a13,2.000146151,1
0f8eb4b72b6e0c9e88b388eb967b49e067ef1004bf07bffc22c3acb13b43580a,4.000328064,1
0a6b81782b5c6d04236250f24ed2b3a27c3afd1a80371ea238ba029cbe5aca0d,7.029752254,2
13990937ab8ca4413751a9012a31255e72a18ba3ac8d5c83dd511df50cf2a3e1,5.015691519,1
3141d9c749e88ee5550192703c3e025a9b3446ec543f17a923cb24e7b61dfece,4.015221834,1
18c1e67c850703071585ed2f4796bf8a0b42601b891ed0a6ec2d5a34aca3998e,6.014306784,2
106ca1b823ceb804d7c014a5019632a780f7ce32c7a8737abe41de56f2037c7d,4.015075207,2
1483c82372b98e6864d52a9e4a66c92ac7b568d7f2ffca7f405ea0853af10e89,9.015411854,1
57fb0303e4a6845cd7a1484ee9773c218975e9c9a763114e668259498cad2f30,5.001501322,1
2b169d27d9e55e10515caf1114f67aa60ad2c1021a1a43077fc05103b68013aa,1.005063534,1
07e9bba1c63a7a01f935ee06d931c453e0864fc0fcc11ec445a8af60a36cc6c8,2.001955986,1
18bb83a4f6ea049fa1342aa05d80214e8e3f5111c9734d4e298b32ba1813f6b8,6.016048193,2
07e9bba1c63a7a01f935ee06d931c453e0864fc0fcc11ec445a8af60a36cc6c8,3.015399456,1
2611b07ac9addfb7d2e4259eb234bc7e240931c54564e05eb7e25f5d69780efc,6.013349533,2
142472979dc6cfe2d4c0b44f3c1f6474f9657e6e2c8cc598f70bbcdb4815fec7,2.007000685,1
0f8bd7a29232852743be352cef55f0a2bee0aca409cf1def94d43625887d3357,17.02986908,7
0b94cd5e95afb17f118c0ed090fa2621bae55c692e2f7b13948c7d805985974e,7.004890919,2
1eb2cf2faec287ff82d265b863f54383712b6ff74d66dff812381353582362e2,4.000316858,1
1eb2cf2faec287ff82d265b863f54383712b6ff74d66dff812381353582362e2,3.01274848,1
07df47f4857229805333a3de141b6318b699e4ae52a860c9923db6de9a8bf16c,1.00031662,1
0b6da4997e22aae270ba8b90216181ed6698d15e234ca4e755d3f865212a0fad,7.011694193,1
2d7ddcd419c0349e07d1d5865c0ba14d85a23eec7b7745945d78f9bcf30f06b0,3.000371695,1
097f274cf69e963a59672611fb2f65ef70b833337eadfd8685601d6bbdaa8220,3.000182867,1
1e51fcfed95e3e91df5a2444df29785bbcc5a1251fb70f3c83fb8d88934a4e04,10.00130939,3
097f274cf69e963a59672611fb2f65ef70b833337eadfd8685601d6bbdaa8220,1.000519276,1
0629d63476c157a6cfe234f7a34422eb0ad94998c2d0825127cd50d7387dfaf9,7.000935793,2
242a9377518dd1afaf021b2d0bfe6484e3fe48a878152f76dec99a396160022c,4.001302004,3
0bf5f896544da6d0c5943d37da287a49065759bb67ba62f2719ca12cf2be9fe8,6.001952171,1
