hex,confTime,timeGuessed
10716564f7bea47036cae9a39adc7dcd395850714228939a2b508d4e57d61824,4.000643253326416,1
01ce4b291ad3ecd240be71870340051b755e74e91e05d5c5baa0d7830c1b75d4,4.0006444454193115,1
21900f41ecb7b8e6cfd9250f096aad2fe7f6d8fbec9436b2d28e48c304ff8255,1.0009112358093262,1
01ce4b291ad3ecd240be71870340051b755e74e91e05d5c5baa0d7830c1b75d4,3.0007333755493164,1
01a0123885ebec5b37b52ddc058c20d052525c654b69e7b7bfd5feb291428bba,4.0026469230651855,3
051c2e380d07844ffaca43743957f8c0efe2bdf74c6c1e6a9dcccb8d1a3c596b,5.001557111740112,1
1a1cf797fabe7f95836fabeca626907c77b3e6c9aff7c2290b396a238c69362e,2.0008232593536377,1
01d77b0b1bd2fecc8ddd43210d4d10934aa31db043675f53eb46907a031d10d2,10.001112461090088,2
5119e090c80757fec3c9f1dca46e3481688fed2fea905db0af7994857abb92a6,4.001644134521484,1
21900f41ecb7b8e6cfd9250f096aad2fe7f6d8fbec9436b2d28e48c304ff8255,2.0008232593536377,1
109605b9bd377f6c636831a2a8a5c6f397e5887c28c3071688413a15388066c2,6.001467704772949,1
524148f24802f8c68974c2e1ecc8b8f47d0d60b7a0d1948951c050a25b5a8e59,1.0009121894836426,1
07e9bba1c63a7a01f935ee06d931c453e0864fc0fcc11ec445a8af60a36cc6c8,1.0009119510650635,1
0315b4020af3eccab7706679580ac87a710d82970733b8719e70af9b57e7b9e6,8.002290725708008,3
234666d765f4c0a26cf4d96eced9155888477cb9b19e8cb48ae4ea79ce1b28de,5.000555992126465,1
3ef4ba73834a4409affdc4f09899d57af3f9c201946d624705e5753bd88d3e89,4.001645565032959,2
1aa3e4f8f4a38d99994d6af04b69455db781c6932257873a272c928820d77484,6.001468181610107,1
40510175845988f13f6162ed8526f0b09f73384467fa855e1e79b44a56562a58,1.0009119510650635,1
033581b0970477af916f08ad931c521b975b55f8368604ae58a537b387e792e1,8.002290725708008,3
0927a0c81213ef0edd8c33cb3046bf366f80bfe674a15d3ecad347edd5a686ce,2.000822067260742,1
183d58f7c3e44c77886cc404b8028e9e57c25e35ebfc189f38f2300733b3a434,7.001379489898682,1
1aa3e4f8f4a38d99994d6af04b69455db781c6932257873a272c928820d77484,2.0008227825164795,1
109605b9bd377f6c636831a2a8a5c6f397e5887c28c3071688413a15388066c2,3.000734329223633,1
202fd26f14d638ccb40975163ab0f05e1acf24c04a30708b3e0abfac44301a08,1.0009114742279053,1
014e9fb03ec3e152833fb9e4541198dce6719bd09349b4b309118e285eb5a3f0,1.0009114742279053,1
06c973e49be9fdbfdaa84a397b35b05baceec93d5ea35e4cba2d6eaecf97700f,3.000734567642212,1
06c973e49be9fdbfdaa84a397b35b05baceec93d5ea35e4cba2d6eaecf97700f,3.001735210418701,1
2a0a5f36a397d7ef63edd9962270a19ee9220e9752f53093fb8161ac7ec4c133,3.001734495162964,2
109605b9bd377f6c636831a2a8a5c6f397e5887c28c3071688413a15388066c2,1.0009117126464844,1
00f7f5c26f42ca17edf82c887506be0b504abb777a51c52b17c923b810ea992a,5.001557350158691,2
0927a0c81213ef0edd8c33cb3046bf366f80bfe674a15d3ecad347edd5a686ce,5.0015575885772705,1
3b858550be000541fefdb07472e80ad11e1cf7795959783dc3726df3797fa336,3.0017354488372803,1
183d58f7c3e44c77886cc404b8028e9e57c25e35ebfc189f38f2300733b3a434,7.001377582550049,1
1aa3e4f8f4a38d99994d6af04b69455db781c6932257873a272c928820d77484,3.0007338523864746,1
1483c82372b98e6864d52a9e4a66c92ac7b568d7f2ffca7f405ea0853af10e89,5.001556634902954,1
0e1a3aec7fd93fa52fea73290fec50e6cf62fb1fa6d03b9ebc0a0a3272232339,2.0008230209350586,1
10f6b6ad5e069f3b97acb8979dc276b9a1c04beb48dd9fa7c8169a142879474a,3.0007333755493164,1
28995a2c0d04b66d5c7c818536bb00cd1fc1ac422aea47627de0999782fee3f4,2.000822067260742,1
0d4836d1aea37ab0ff319c94d756972d9a1738bd6f5e7ed592d735b46b86db3d,6.002469062805176,3
1bbe48b7b0243dee201e13272bc7d5f858bddd369171574fc440cf9e7d746031,7.00238037109375,3
06c973e49be9fdbfdaa84a397b35b05baceec93d5ea35e4cba2d6eaecf97700f,2.0008251667022705,1
15811bd57b46d0025f3a839bb785419c90f4f22518025a487979085da2c6a189,1.0009121894836426,1
10a3dca4112541f031be3299f90153eb152b0052ed137e74b073c9cc9feb62e3,5.001557350158691,2
1fdc5156dff53e1ed8febfd0bfdfeedba271cde3e7bae67acd44e715a1badc78,5.000556468963623,1
197eb73ac8e7a845a3af30eb206ec9bd76f54ee83e40c0d275d8aa70e7c5a25d,3.001734733581543,1
00150bc11aeeaa3cdbdc1e27085b0f6c584c27e05f255e303898dcd12426f110,4.000645637512207,1
121076a4131f0eb802fd9f9c68c6aa8aafbe66ce76d85c9635a3403cf1016dca,6.001467227935791,2
162e3973ecf8a77629bbf7c8faaf28c13f99d4e7f1affadc616731276ee1d07a,2.0008232593536377,1
188badd9fc7a63f8d515584eea23439e5587a1f76f1e7eaff92457ca439c0d0b,8.003291606903076,4
