hex,confTime,timeGuessed
15d45f2509126484f295a467baa497716a95742d401311586e75d5db3f88be9c,9.002200127,2
524148f24802f8c68974c2e1ecc8b8f47d0d60b7a0d1948951c050a25b5a8e59,4.000644922,1
45297c633d331e6ac35169ebaaf75bc7fafd206ebb59ba4efd80566936e46eb0,2.001823425,1
1e472b39b105d349bcd069c4a711b44a2fffb8e274714bb07ecfff69a9a7f67b,6.001467943,1
7b69759630f869f2723875f873935fed29d2d12b10ef763c1c33b8e0004cb405,4.000645399,1
64d095f2fecfdeb907dae5403b10966c4ae755b7598aa078cb932e345bd0b5d0,1.000912189,1
0e78437805639c14d6413de94c031fd1babdb561b7728d31ae06bfc5ff1766d4,1.000912905,1
081c68229e69ec1a2bef4d4690440f158baf36beac58225d1b12b3e0563aee62,13.00384641,5
0ebe0fb634f8e4aca93dcdea090d01120e73df4c7da22888c595b593da608c78,6.001468182,1
5538e771949ffec150f6e8260b2e3801236c7373ed62c22a3f82dc0071265cc4,2.000823498,1
1c00e16c0db1f129d7b8b87fad27646fdfc393600d20182fa7eb94682601b913,4.001645565,1
2ee1a4c2b1f11f0ca375d1429e7902a1d84b900348ae65e624c83b1589ff2e27,3.001734257,2
25f9b3ab7e7d3634a79eab88d59a0b4592d42384900dfc10ecc481af5b8dfd3d,10.00311399,3
27badc983df1780b60c2b3fa9d3a19a00e46aac798451f0febdca52920faaddf,1.000912905,1
1134c0a7d44fdae1afd7f1f64e2789496784095ca0a050947d659c256d331d34,10.0021131,3
2c58b3a68ac99f845a207a613ce245b3fd2dd839320355a9778e9319f96363b2,1.000911951,1
041669688dba6edca905acae363296e29902c37b43adcceb7113eb81e1ddb1a1,6.002468824,3
0927a0c81213ef0edd8c33cb3046bf366f80bfe674a15d3ecad347edd5a686ce,2.000823498,1
258f31fc369c1710e953a91439474bdc4d36b4211c679761a6ac5bbee7dd64ff,2.001823187,1
169564455792f758d4dd0e6770c9dd5b9bd905d182e6cffa022e46d950e111f5,3.002736568,3
0f2cb44170f42cc966535f392a10dcd4499426df69dc476f1bf36609f7fa8c1e,7.001378536,2
0e78437805639c14d6413de94c031fd1babdb561b7728d31ae06bfc5ff1766d4,1.000914335,1
0e78437805639c14d6413de94c031fd1babdb561b7728d31ae06bfc5ff1766d4,2.000822544,1
