hex,target,confTime,timeGuessed
0373b8939c485c5ed5f7dccd65b523ee166b9b05f70e0eb2d56b90e4311e34e5,5.78960446186581e+75,26.561112880706787,45
0084b147d0a1356bf6de8a4c9c5fc24ff7d64ec941a1b2131b109bd588e19539,6.834592784278286e+75,20.421541929244995,28
02302bff85f2cd30784e2aa256dfd9101563f0659ad0f75ffb8763fcd85ec438,7.555006943024098e+75,33.80568861961365,50
10deea94cf4c7f5a6e8cfde476569394ae5f3c8343f630b9e56b5ea3abbe2018,7.644138268641595e+75,21.1682186126709,36
0cb9be9fd98d4c86d8f33cf71dc6d1fa7b0ff209c496eac689b6b051eaac1559,7.41661393510523e+75,5.227746486663818,16
03a4e3fa5419e80e1a15e569b21d932c8f97d4a5295346343e747abb3a696af7,6.221632649123289e+75,10.433472394943237,14
0d31fc5eea7ce0bae2892ab9dd96ee5f531bba655491a83c6e69147b9e746712,6.525067469737286e+75,20.83391499519348,33
0dd15dbd82d8ffb711832246eb14e77a0d97ba94eb013c3e7f30a91e0724c7ee,6.6267558465835555e+75,8.184430599212646,17
03a984597cd14c7fd256249ad8cd17e793f44dfac97fb6f69ced9f68c6bda520,6.474026990651245e+75,40.66892218589783,71
0b457e5b878b566ca64fa11f9430c3cca362dd278c4a943407ec9a1edf35fc49,6.491269799489704e+75,10.69471001625061,15
033ac222a55f32edf26fe3e99c1c6c472c7e3bde44be25463d7473ba83a58b8d,6.633036106438357e+75,6.9282896518707275,18
0528d937a7b6f0efeb76cf4b197037ea41424b3765ce50b121d5b20c47c467a4,6.351124761521882e+75,64.53058695793152,121
0ca6492abdf0105d8bddaf626ea3e5d8eb33b4a844160225e8adde9b136e3074,6.336092530772356e+75,10.872871160507202,16
0cc5ee3cbc1670b1f377c4c92b3436324aaa8c4c77948c94fd86042aa206bc7b,6.432467187490922e+75,39.030436277389526,64
0cd624648345f04294293da3cac18c7beedb566615eb06ad40945b719933baac,6.473663010146015e+75,13.985697031021118,18
0ab5a860e708c6d5855c834bb5227913cef3f7ce0bded70eb9ad79f33746e392,6.597006046149846e+75,13.60535192489624,14
0725269a3e15f0e732e45e5265bfc879354c39fafb4f1b41f35505e5e017c1c4,6.772127081826471e+75,3.830477476119995,14
0365fc7a02d02e960ff4bd8c0611fc93c4c42e4624fc9889aac95edd3b1fff6f,6.347384438907937e+75,14.319000482559204,18
09d69bcab674aa689b17680227f5f5d706fbbd064a5a0a1a375214653b3a82d4,6.458948554810365e+75,5.11764669418335,15
00c1fb71397436aaf655e385608ff497204c7fb013b9d34ab9e4aa48171653ad,6.2500814222348074e+75,14.673321723937988,18
08e786f1b1e05a3087c4ec4116677d77956f2daa853d6b2848ba0df4f7b0daa3,6.357477797495287e+75,8.147396802902222,13
0dfe2e6fa4dc3000b26633dfdca95ca4dbba5022eb283bbed14b1a4c390a19f5,6.395223891641153e+75,4.490076303482056,13
02c63374888a0ea0f1270cd6e80f87818fccb367d6e5d8cb6a9f70081e6e48b4,6.225696372005644e+75,10.07414722442627,14
09460dcca96cf04c8006c4000b618be978a72ba6f9d01e23a4fa766519b3d1fc,6.294889217403668e+75,10.49152398109436,18
0776be36f1b19dc307656ec6977475a1c8040f36a83acf74b388372b57fa25bb,6.3125901213820474e+75,9.216367959976196,20
0c9942f3185be3e59bd7bb93ea79257c2245740a57b27a559132a64f52d76064,6.266708157833526e+75,9.099259614944458,12
03a72b01f78f8940e0f441ff10cf04dfd3009f935fc5fa014dc7297f07946bcf,6.33647445046276e+75,19.69688391685486,31
0dc7e13bc3bb38a336cedf36fef5476b72d6ce8e2ee7dfd75275deb223649f52,6.369203333027296e+75,8.302538633346558,13
05943d4fb1a25bcbc9a53199f53ddc51664d441525b7c510f85f8a02591ff0b1,6.400917889407875e+75,16.826274871826172,21
